A,N,10,53,3
Q,N,54,44,9
Q,N,46,25,9
A,N,76,43,3
Q,N,17,72,9
Q,N,64,62,9
Q,N,40,6,9
C,N,44,36,3
Q,N,40,3,9
Q,N,24,77,9
Q,N,44,11,9
A,N,34,74,3
Q,N,12,65,9
Q,N,37,34,9
A,N,55,1,3
A,N,55,64,3
K,N,51,61,50
C,N,17,25,3
Q,N,66,77,9
Q,N,77,74,9
Q,N,64,67,9
Q,N,12,64,9
Q,N,47,66,9
C,N,70,51,3
A,N,11,62,3
Q,N,36,32,9
Q,N,21,5,9
Q,N,15,13,9
A,N,64,36,3
Q,N,76,4,9
A,N,66,32,3
C,N,65,77,3
Q,N,51,4,9
Q,N,70,15,9
A,N,4,45,3
T,N,22,25,5
K,N,34,25,50
Q,N,44,46,9
C,N,44,23,3
Q,N,60,17,9
Q,N,3,54,9
A,N,76,12,3
Q,N,14,50,9
A,N,37,12,3
A,N,54,15,3
Q,N,50,5,9
Q,N,41,20,9
T,N,6,26,5
A,N,72,63,3
A,N,75,27,3
A,N,3,52,3
A,N,41,13,3
Q,N,12,42,9
A,N,76,23,3
Q,N,35,56,9
Q,N,53,10,9
Q,N,7,76,9
K,N,70,71,50
T,N,7,0,5
A,N,11,74,3
A,N,72,37,3
A,N,72,15,3
Q,N,60,65,9
Q,N,42,75,9
Q,N,11,14,9
A,N,41,61,3
Q,N,2,76,9
Q,N,45,43,9
Q,N,67,76,9
Q,N,72,23,9
Q,N,77,51,9
A,N,4,44,3
Q,N,37,65,9
A,N,4,57,3
Q,N,40,11,9
A,N,65,25,3
K,N,1,10,50
Q,N,14,56,9
Q,N,44,40,9
Q,N,1,7,9
Q,N,55,6,9
A,N,64,2,3
Q,N,53,63,9
Q,N,51,61,9
A,N,57,3,3
C,N,51,70,3
C,N,21,33,3
Q,N,25,66,9
T,N,61,62,5
T,N,52,54,5
K,N,52,53,50
T,N,64,74,5
Q,N,52,55,9
Q,N,57,76,9
C,N,51,72,3
A,N,76,3,3
C,N,61,73,3
Q,N,1,27,9
T,N,14,13,5
A,N,27,44,3
Q,N,43,25,9
Q,N,10,75,9
A,N,14,63,3
A,N,42,4,3
Q,N,66,40,9
Q,N,52,50,9
T,N,66,56,5
A,N,43,27,3
T,N,1,5,5
Q,N,54,24,9
Q,N,77,46,9
A,N,56,34,3
A,N,44,22,3
T,N,31,37,5
Q,N,23,44,9
Q,N,25,35,9
A,N,27,5,3
T,N,50,55,5
A,N,47,65,3
Q,N,60,15,9
Q,N,53,42,9
A,N,55,25,3
T,N,71,51,5
Q,N,40,10,9
A,N,5,24,3
Q,N,31,21,9
A,N,13,57,3
A,N,64,1,3
Q,N,0,5,9
K,N,20,30,50
Q,N,2,72,9
Q,N,75,40,9
T,N,23,21,5
A,N,5,22,3
T,N,47,42,5
A,N,47,26,3
A,N,21,3,3
Q,N,34,7,9
T,N,73,75,5
A,N,10,52,3
Q,N,55,74,9
Q,N,46,21,9
A,N,63,20,3
A,N,51,32,3
Q,N,45,16,9
A,N,20,56,3
T,N,7,2,5
Q,N,41,75,9
K,N,25,35,50
Q,N,50,20,9
A,N,53,64,3
Q,N,77,66,9
T,N,72,2,5
Q,N,26,55,9
A,N,67,41,3
Q,N,3,6,9
A,N,15,64,3
Q,N,16,63,9
T,N,44,43,5
A,N,31,40,3
Q,N,2,61,9
A,N,52,37,3
A,N,41,66,3
Q,N,12,54,9
T,N,70,0,5
A,N,36,2,3
A,N,44,13,3
A,N,22,0,3
Q,N,0,61,9
Q,N,50,33,9
A,N,37,15,3
A,N,76,6,3
