
A,B,10,53,3
Q,B,54,44,9
Q,B,46,25,9
A,B,76,43,3
Q,B,17,72,9
Q,B,64,62,9
Q,B,40,06,9
C,B,44,36,3
Q,B,40,03,9
Q,B,24,77,9
Q,B,44,11,9
A,B,34,74,3
Q,B,12,65,9
Q,B,37,34,9
A,B,55,01,3
A,B,55,64,3
K,B,51,61,50
C,B,17,25,3
Q,B,66,77,9
Q,B,77,74,9
Q,B,64,67,9
Q,B,12,64,9
Q,B,47,66,9
C,B,70,51,3
A,B,11,62,3
Q,B,36,32,9
Q,B,21,05,9
Q,B,15,13,9
A,B,64,36,3
Q,B,76,04,9
A,B,66,32,3
C,B,65,77,3
Q,B,51,04,9
Q,B,70,15,9
A,B,04,45,3
T,B,22,25,5
K,B,34,25,50
Q,B,44,46,9
C,B,44,23,3
Q,B,60,17,9
Q,B,03,54,9
A,B,76,12,3
Q,B,14,50,9
A,B,37,12,3
A,B,54,15,3
Q,B,50,05,9
Q,B,41,20,9
T,B,06,26,5
A,B,72,63,3
A,B,75,27,3
A,B,03,52,3
A,B,41,13,3
Q,B,12,42,9
A,B,76,23,3
Q,B,35,56,9
Q,B,53,10,9
Q,B,07,76,9
K,B,70,71,50
T,B,07,0,5
A,B,11,74,3
A,B,72,37,3
A,B,72,15,3
Q,B,60,65,9
Q,B,42,75,9
Q,B,11,14,9
A,B,41,61,3
Q,B,02,76,9
Q,B,45,43,9
Q,B,67,76,9
Q,B,72,23,9
Q,B,77,51,9
A,B,04,44,3
Q,B,37,65,9
A,B,04,57,3
Q,B,40,11,9
A,B,65,25,3
K,B,01,10,50
Q,B,14,56,9
Q,B,44,40,9
Q,B,01,7,9
Q,B,55,06,9
A,B,64,02,3
Q,B,53,63,9
Q,B,51,61,9
A,B,57,03,3
C,B,51,70,3
C,B,21,33,3
Q,B,25,66,9
T,B,61,62,5
T,B,52,54,5
K,B,52,53,50
T,B,64,74,5
Q,B,52,55,9
Q,B,57,76,9
C,B,51,72,3
A,B,76,03,3
C,B,61,73,3
Q,B,01,27,9
T,B,14,13,5
A,B,27,44,3
Q,B,43,25,9
Q,B,10,75,9
A,B,14,63,3
A,B,42,04,3
Q,B,66,40,9
Q,B,52,50,9
T,B,66,56,5
A,B,43,27,3
T,B,01,5,5
Q,B,54,24,9
Q,B,77,46,9
A,B,56,34,3
A,B,44,22,3
T,B,31,37,5
Q,B,23,44,9
Q,B,25,35,9
A,B,27,05,3
T,B,50,55,5
A,B,47,65,3
Q,B,60,15,9
Q,B,53,42,9
A,B,55,25,3
T,B,71,51,5
Q,B,40,10,9
A,B,05,24,3
Q,B,31,21,9
A,B,13,57,3
A,B,64,01,3
Q,B,00,5,9
K,B,20,30,50
Q,B,02,72,9
Q,B,75,40,9
T,B,23,21,5
A,B,05,22,3
T,B,47,42,5
A,B,47,26,3
A,B,21,03,3
Q,B,34,07,9
T,B,73,75,5
A,B,10,52,3
Q,B,55,74,9
Q,B,46,21,9
A,B,63,20,3
A,B,51,32,3
Q,B,45,16,9
A,B,20,56,3
T,B,07,2,5
Q,B,41,75,9
K,B,25,35,50
Q,B,50,20,9
A,B,53,64,3
Q,B,77,66,9
T,B,72,02,5
Q,B,26,55,9
A,B,67,41,3
Q,B,03,6,9
A,B,15,64,3
Q,B,16,63,9
T,B,44,43,5
A,B,31,40,3
Q,B,02,61,9
A,B,52,37,3
A,B,41,66,3
Q,B,12,54,9
T,B,70,00,5
A,B,36,02,3
A,B,44,13,3
A,B,22,00,3
Q,B,00,61,9
Q,B,50,33,9
A,B,37,15,3
A,B,76,06,3
Q,B,25,22,9
T,B,51,71,5
Q,B,76,46,9
A,B,15,41,3
Q,B,51,20,9
Q,B,04,75,9
Q,B,66,67,9
A,B,73,33,3
A,B,54,16,3
Q,B,45,03,9
Q,B,62,17,9
K,B,23,14,50
A,B,25,72,3
Q,B,17,31,9
Q,B,35,67,9
Q,B,67,30,9
K,B,44,35,50
A,B,76,50,3
K,B,43,42,50
C,B,01,13,3
Q,B,72,75,9
T,B,35,37,5
A,B,77,53,3
Q,B,53,11,9
A,B,10,01,3
Q,B,77,40,9
Q,B,26,03,9
C,B,32,20,3
Q,B,07,46,9
Q,B,23,43,9
Q,B,10,21,9
T,B,24,26,5
A,B,42,27,3
Q,B,55,72,9
A,B,30,61,3
Q,B,53,55,9
A,B,53,70,3
A,B,62,30,3
Q,B,32,64,9
A,B,47,27,3
Q,B,66,63,9
